# wavelength (microns), QE
24.2600,0.4927
24.2800,0.4910
24.3000,0.4894
24.3200,0.4878
24.3400,0.4861
24.3600,0.4845
24.3800,0.4828
24.4000,0.4812
24.4200,0.4796
24.4400,0.4779
24.4600,0.4763
24.4800,0.4746
24.5000,0.4730
24.5200,0.4710
24.5400,0.4689
24.5600,0.4669
24.5800,0.4648
24.6000,0.4628
24.6200,0.4608
24.6400,0.4587
24.6600,0.4567
24.6800,0.4546
24.7000,0.4526
24.7200,0.4506
24.7400,0.4485
24.7600,0.4465
24.7800,0.4444
24.8000,0.4424
24.8200,0.4404
24.8400,0.4383
24.8600,0.4363
24.8800,0.4342
24.9000,0.4322
24.9200,0.4302
24.9400,0.4281
24.9600,0.4261
24.9800,0.4240
25.0000,0.4220
25.0200,0.4200
25.0400,0.4181
25.0600,0.4161
25.0800,0.4142
25.1000,0.4122
25.1200,0.4102
25.1400,0.4083
25.1600,0.4063
25.1800,0.4044
25.2000,0.4024
25.2200,0.4004
25.2400,0.3985
25.2600,0.3965
25.2800,0.3946
25.3000,0.3926
25.3200,0.3906
25.3400,0.3887
25.3600,0.3867
25.3800,0.3848
25.4000,0.3828
25.4200,0.3808
25.4400,0.3789
25.4600,0.3769
25.4800,0.3750
25.5000,0.3730
25.5200,0.3711
25.5400,0.3692
25.5600,0.3672
25.5800,0.3653
25.6000,0.3634
25.6200,0.3615
25.6400,0.3596
25.6600,0.3576
25.6800,0.3557
25.7000,0.3538
25.7200,0.3519
25.7400,0.3500
25.7600,0.3480
25.7800,0.3461
25.8000,0.3442
25.8200,0.3423
25.8400,0.3404
25.8600,0.3384
25.8800,0.3365
25.9000,0.3346
25.9200,0.3327
25.9400,0.3308
25.9600,0.3288
25.9800,0.3269
26.0000,0.3250
26.0200,0.3227
26.0400,0.3204
26.0600,0.3182
26.0800,0.3159
26.1000,0.3136
26.1200,0.3113
26.1400,0.3090
26.1600,0.3068
26.1800,0.3045
26.2000,0.3022
26.2200,0.2999
26.2400,0.2976
26.2600,0.2954
26.2800,0.2931
26.3000,0.2908
26.3200,0.2885
26.3400,0.2862
26.3600,0.2840
26.3800,0.2817
26.4000,0.2794
26.4200,0.2771
26.4400,0.2748
26.4600,0.2726
26.4800,0.2703
26.5000,0.2680
26.5200,0.2648
26.5400,0.2617
26.5600,0.2585
26.5800,0.2554
26.6000,0.2522
26.6200,0.2490
26.6400,0.2459
26.6600,0.2427
26.6800,0.2396
26.7000,0.2364
26.7200,0.2332
26.7400,0.2301
26.7600,0.2269
26.7800,0.2238
26.8000,0.2206
26.8200,0.2174
26.8400,0.2143
26.8600,0.2111
26.8800,0.2080
26.9000,0.2048
26.9200,0.2016
26.9400,0.1985
26.9600,0.1953
26.9800,0.1922
27.0000,0.1890
27.0200,0.1869
27.0400,0.1848
27.0600,0.1828
27.0800,0.1807
27.1000,0.1786
27.1200,0.1765
27.1400,0.1744
27.1600,0.1724
27.1800,0.1703
27.2000,0.1682
27.2200,0.1661
27.2400,0.1640
27.2600,0.1620
27.2800,0.1599
27.3000,0.1578
27.3200,0.1557
27.3400,0.1536
27.3600,0.1516
27.3800,0.1495
27.4000,0.1474
27.4200,0.1453
27.4400,0.1432
27.4600,0.1412
27.4800,0.1391
27.5000,0.1370
27.5200,0.1349
27.5400,0.1328
27.5600,0.1306
27.5800,0.1285
27.6000,0.1264
27.6200,0.1243
27.6400,0.1222
27.6600,0.1200
27.6800,0.1179
27.7000,0.1158
27.7200,0.1137
27.7400,0.1116
27.7600,0.1094
27.7800,0.1073
27.8000,0.1052
27.8200,0.1031
27.8400,0.1010
27.8600,0.0988
27.8800,0.0967
27.9000,0.0946
27.9200,0.0925
27.9400,0.0904
27.9600,0.0882
27.9800,0.0861
28.0000,0.0840
28.0200,0.0830
28.0400,0.0821
28.0600,0.0811
28.0800,0.0802
28.1000,0.0792
28.1200,0.0782
28.1400,0.0773
28.1600,0.0763
28.1800,0.0754
28.2000,0.0744
28.2200,0.0734
28.2400,0.0725
28.2600,0.0715
28.2800,0.0706
