# wavelength (microns), QE
21.0800,0.4522
21.1000,0.4530
21.1200,0.4538
21.1400,0.4546
21.1600,0.4554
21.1800,0.4562
21.2000,0.4570
21.2200,0.4578
21.2400,0.4586
21.2600,0.4594
21.2800,0.4602
21.3000,0.4610
21.3200,0.4618
21.3400,0.4626
21.3600,0.4634
21.3800,0.4642
21.4000,0.4650
21.4200,0.4658
21.4400,0.4666
21.4600,0.4674
21.4800,0.4682
21.5000,0.4690
21.5200,0.4686
21.5400,0.4683
21.5600,0.4679
21.5800,0.4676
21.6000,0.4672
21.6200,0.4668
21.6400,0.4665
21.6600,0.4661
21.6800,0.4658
21.7000,0.4654
21.7200,0.4650
21.7400,0.4647
21.7600,0.4643
21.7800,0.4640
21.8000,0.4636
21.8200,0.4632
21.8400,0.4629
21.8600,0.4625
21.8800,0.4622
21.9000,0.4618
21.9200,0.4614
21.9400,0.4611
21.9600,0.4607
21.9800,0.4604
22.0000,0.4600
22.0200,0.4599
22.0400,0.4598
22.0600,0.4596
22.0800,0.4595
22.1000,0.4594
22.1200,0.4593
22.1400,0.4592
22.1600,0.4590
22.1800,0.4589
22.2000,0.4588
22.2200,0.4587
22.2400,0.4586
22.2600,0.4584
22.2800,0.4583
22.3000,0.4582
22.3200,0.4581
22.3400,0.4580
22.3600,0.4578
22.3800,0.4577
22.4000,0.4576
22.4200,0.4575
22.4400,0.4574
22.4600,0.4572
22.4800,0.4571
22.5000,0.4570
22.5200,0.4564
22.5400,0.4558
22.5600,0.4552
22.5800,0.4546
22.6000,0.4540
22.6200,0.4534
22.6400,0.4528
22.6600,0.4522
22.6800,0.4516
22.7000,0.4510
22.7200,0.4504
22.7400,0.4498
22.7600,0.4492
22.7800,0.4486
22.8000,0.4480
22.8200,0.4474
22.8400,0.4468
22.8600,0.4462
22.8800,0.4456
22.9000,0.4450
22.9200,0.4444
22.9400,0.4438
22.9600,0.4432
22.9800,0.4426
23.0000,0.4420
23.0200,0.4410
23.0400,0.4401
23.0600,0.4391
23.0800,0.4382
23.1000,0.4372
23.1200,0.4362
23.1400,0.4353
23.1600,0.4343
23.1800,0.4334
23.2000,0.4324
23.2200,0.4314
23.2400,0.4305
23.2600,0.4295
23.2800,0.4286
23.3000,0.4276
23.3200,0.4266
23.3400,0.4257
23.3600,0.4247
23.3800,0.4238
23.4000,0.4228
23.4200,0.4218
23.4400,0.4209
23.4600,0.4199
23.4800,0.4190
23.5000,0.4180
23.5200,0.4177
23.5400,0.4174
23.5600,0.4170
23.5800,0.4167
23.6000,0.4164
23.6200,0.4161
23.6400,0.4158
23.6600,0.4154
23.6800,0.4151
23.7000,0.4148
23.7200,0.4145
23.7400,0.4142
23.7600,0.4138
23.7800,0.4135
23.8000,0.4132
23.8200,0.4129
23.8400,0.4126
23.8600,0.4122
23.8800,0.4119
23.9000,0.4116
23.9200,0.4113
23.9400,0.4110
23.9600,0.4106
23.9800,0.4103
24.0000,0.4100
24.0200,0.4088
24.0400,0.4075
24.0600,0.4063
24.0800,0.4050
24.1000,0.4038
24.1200,0.4026
24.1400,0.4013
24.1600,0.4001
24.1800,0.3988
24.2000,0.3976
24.2200,0.3964
24.2400,0.3951
24.2600,0.3939
24.2800,0.3926
24.3000,0.3914
24.3200,0.3902
24.3400,0.3889
24.3600,0.3877
24.3800,0.3864
24.4000,0.3852
24.4200,0.3840
24.4400,0.3827
24.4600,0.3815
24.4800,0.3802
24.5000,0.3790
24.5200,0.3774
24.5400,0.3759
24.5600,0.3743
24.5800,0.3728
24.6000,0.3712
24.6200,0.3696
24.6400,0.3681
24.6600,0.3665
24.6800,0.3650
24.7000,0.3634
24.7200,0.3618
24.7400,0.3603
24.7600,0.3587
24.7800,0.3572
24.8000,0.3556
24.8200,0.3540
24.8400,0.3525
24.8600,0.3509
24.8800,0.3494
24.9000,0.3478
24.9200,0.3462
24.9400,0.3447
24.9600,0.3431
24.9800,0.3416
25.0000,0.3400
25.0200,0.3385
25.0400,0.3370
25.0600,0.3354
25.0800,0.3339
25.1000,0.3324
25.1200,0.3309
25.1400,0.3294
25.1600,0.3278
25.1800,0.3263
25.2000,0.3248
25.2200,0.3233
25.2400,0.3218
25.2600,0.3202
25.2800,0.3187
25.3000,0.3172
25.3200,0.3157
25.3400,0.3142
25.3600,0.3126
25.3800,0.3111
25.4000,0.3096
25.4200,0.3081
25.4400,0.3066
25.4600,0.3050
25.4800,0.3035
25.5000,0.3020
25.5200,0.3005
25.5400,0.2990
25.5600,0.2974
25.5800,0.2959
25.6000,0.2944
25.6200,0.2929
25.6400,0.2914
25.6600,0.2898
25.6800,0.2883
25.7000,0.2868
25.7200,0.2853
25.7400,0.2838
25.7600,0.2822
25.7800,0.2807
25.8000,0.2792
25.8200,0.2777
25.8400,0.2762
25.8600,0.2746
25.8800,0.2731
25.9000,0.2716
25.9200,0.2701
25.9400,0.2686
25.9600,0.2670
25.9800,0.2655
26.0000,0.2640
26.0200,0.2622
26.0400,0.2604
26.0600,0.2586
26.0800,0.2568
26.1000,0.2550
26.1200,0.2532
26.1400,0.2514
26.1600,0.2496
26.1800,0.2478
26.2000,0.2460
26.2200,0.2442
26.2400,0.2424
26.2600,0.2406
26.2800,0.2388
26.3000,0.2370
26.3200,0.2352
26.3400,0.2334
26.3600,0.2316
26.3800,0.2298
26.4000,0.2280
26.4200,0.2262
26.4400,0.2244
26.4600,0.2226
26.4800,0.2208
26.5000,0.2190
26.5200,0.2164
26.5400,0.2139
26.5600,0.2113
26.5800,0.2088
26.6000,0.2062
26.6200,0.2036
26.6400,0.2011
26.6600,0.1985
26.6800,0.1960
26.7000,0.1934
26.7200,0.1908
26.7400,0.1883
26.7600,0.1857
26.7800,0.1832
26.8000,0.1806
26.8200,0.1780
26.8400,0.1755
26.8600,0.1729
26.8800,0.1704
26.9000,0.1678
26.9200,0.1652
26.9400,0.1627
26.9600,0.1601
26.9800,0.1576
27.0000,0.1550
27.0200,0.1533
27.0400,0.1516
27.0600,0.1500
27.0800,0.1483
27.1000,0.1466
27.1200,0.1449
27.1400,0.1432
27.1600,0.1416
27.1800,0.1399
27.2000,0.1382
27.2200,0.1365
27.2400,0.1348
27.2600,0.1332
27.2800,0.1315
27.3000,0.1298
27.3200,0.1281
27.3400,0.1264
27.3600,0.1248
27.3800,0.1231
27.4000,0.1214
27.4200,0.1197
27.4400,0.1180
27.4600,0.1164
27.4800,0.1147
27.5000,0.1130
27.5200,0.1113
27.5400,0.1096
27.5600,0.1078
27.5800,0.1061
27.6000,0.1044
27.6200,0.1027
27.6400,0.1010
27.6600,0.0992
27.6800,0.0975
27.7000,0.0958
27.7200,0.0941
27.7400,0.0924
27.7600,0.0906
27.7800,0.0889
27.8000,0.0872
27.8200,0.0855
27.8400,0.0838
27.8600,0.0820
27.8800,0.0803
27.9000,0.0786
27.9200,0.0769
27.9400,0.0752
27.9600,0.0734
27.9800,0.0717
28.0000,0.0700
28.0200,0.0692
28.0400,0.0684
28.0600,0.0676
28.0800,0.0668
28.1000,0.0660
28.1200,0.0652
28.1400,0.0644
28.1600,0.0636
28.1800,0.0628
28.2000,0.0620
28.2200,0.0612
28.2400,0.0604
28.2600,0.0596
28.2800,0.0588
28.3000,0.0580
28.3200,0.0572
28.3400,0.0564
28.3600,0.0556
28.3800,0.0548
28.4000,0.0540
28.4200,0.0532
28.4400,0.0524
28.4600,0.0516
28.4800,0.0508
28.5000,0.0500
28.5200,0.0494
28.5400,0.0489
28.5600,0.0483
28.5800,0.0478
28.6000,0.0472
28.6200,0.0466
28.6400,0.0461
28.6600,0.0455
28.6800,0.0450
28.7000,0.0444
28.7200,0.0438
28.7400,0.0433
28.7600,0.0427
28.7800,0.0422
28.8000,0.0416
28.8200,0.0410
28.8400,0.0405
28.8600,0.0399
28.8800,0.0394
28.9000,0.0388
28.9200,0.0382
28.9400,0.0377
28.9600,0.0371
28.9800,0.0366
29.0000,0.0360
29.0200,0.0355
29.0400,0.0350
29.0600,0.0346
29.0800,0.0341
29.1000,0.0336
29.1200,0.0331
29.1400,0.0326
29.1600,0.0322
29.1800,0.0317
29.2000,0.0312
29.2200,0.0307
29.2400,0.0302
29.2600,0.0298
29.2800,0.0293
29.3000,0.0288
29.3200,0.0283
29.3400,0.0278
29.3600,0.0274
29.3800,0.0269
29.4000,0.0264
29.4200,0.0259
29.4400,0.0254
29.4600,0.0250
29.4800,0.0245
29.5000,0.0240
29.5200,0.0236
29.5400,0.0233
29.5600,0.0229
29.5800,0.0226
29.6000,0.0222
29.6200,0.0218
29.6400,0.0215
29.6600,0.0211
29.6800,0.0208
29.7000,0.0204
29.7200,0.0200
29.7400,0.0197
29.7600,0.0193
29.7800,0.0190
29.8000,0.0186
29.8200,0.0182
29.8400,0.0179
29.8600,0.0175
29.8800,0.0172
29.9000,0.0168
29.9200,0.0164
29.9400,0.0161
29.9600,0.0157
29.9800,0.0154
30.0000,0.0150
30.0200,0.0146
30.0400,0.0143
30.0600,0.0139
30.0800,0.0136
30.1000,0.0132
30.1200,0.0128
30.1400,0.0125
30.1600,0.0121
30.1800,0.0118
30.2000,0.0114
30.2200,0.0110
30.2400,0.0107
30.2600,0.0103
30.2800,0.0100
30.3000,0.0096
30.3200,0.0092
